# Fake CFC-11 emissions,,,,
#,,,,
#,,,,
# ,,,,
year,box_1,box_2,box_3,box_4
1990,100,0,0,0
1991,100,0,0,0
1992,100,0,0,0
1993,100,0,0,0
1994,100,0,0,0
1995,100,0,0,0
1996,100,0,0,0
1997,100,0,0,0
1998,100,0,0,0
1999,100,0,0,0
2000,100,0,0,0
2001,100,0,0,0
2002,100,0,0,0
2003,100,0,0,0
2004,100,0,0,0
2005,100,0,0,0
2006,100,0,0,0
2007,100,0,0,0
2008,100,0,0,0
2009,100,0,0,0
2010,100,0,0,0
2011,100,0,0,0
2012,100,0,0,0
2013,100,0,0,0
2014,100,0,0,0
2015,100,0,0,0
2016,100,0,0,0
2017,100,0,0,0
2018,100,0,0,0
2019,100,0,0,0
2020,100,0,0,0
2021,100,0,0,0
2022,100,0,0,0
2023,100,0,0,0
2024,100,0,0,0
2025,100,0,0,0
2026,100,0,0,0
2027,100,0,0,0
2028,100,0,0,0
2029,100,0,0,0
2030,100,0,0,0
2031,100,0,0,0
2032,100,0,0,0
2033,100,0,0,0
2034,100,0,0,0
2035,100,0,0,0
2036,100,0,0,0
2037,100,0,0,0
2038,100,0,0,0
2039,100,0,0,0
2040,100,0,0,0
2041,100,0,0,0
2042,100,0,0,0
2043,100,0,0,0
2044,100,0,0,0
2045,100,0,0,0
2046,100,0,0,0
2047,100,0,0,0
2048,100,0,0,0
2049,100,0,0,0
2050,100,0,0,0
2051,100,0,0,0
2052,100,0,0,0
2053,100,0,0,0
2054,100,0,0,0
2055,100,0,0,0
2056,100,0,0,0
2057,100,0,0,0
2058,100,0,0,0
2059,100,0,0,0
2060,100,0,0,0
2061,100,0,0,0
2062,100,0,0,0
2063,100,0,0,0
2064,100,0,0,0
2065,100,0,0,0
2066,100,0,0,0
2067,100,0,0,0
2068,100,0,0,0
2069,100,0,0,0
2070,100,0,0,0
2071,100,0,0,0
2072,100,0,0,0
2073,100,0,0,0
2074,100,0,0,0
2075,100,0,0,0
2076,100,0,0,0
2077,100,0,0,0
2078,100,0,0,0
2079,100,0,0,0
2080,100,0,0,0
2081,100,0,0,0
2082,100,0,0,0
2083,100,0,0,0
2084,100,0,0,0
2085,100,0,0,0
2086,100,0,0,0
2087,100,0,0,0
2088,100,0,0,0
2089,100,0,0,0
2090,100,0,0,0
2091,100,0,0,0
2092,100,0,0,0
2093,100,0,0,0
2094,100,0,0,0
2095,100,0,0,0
2096,100,0,0,0
2097,100,0,0,0
2098,100,0,0,0
2099,100,0,0,0
2100,100,0,0,0
2101,100,0,0,0
2102,100,0,0,0
2103,100,0,0,0
2104,100,0,0,0
2105,100,0,0,0
2106,100,0,0,0
2107,100,0,0,0
2108,100,0,0,0
2109,100,0,0,0
2110,100,0,0,0
2111,100,0,0,0
2112,100,0,0,0
2113,100,0,0,0
2114,100,0,0,0
2115,100,0,0,0
2116,100,0,0,0
2117,100,0,0,0
2118,100,0,0,0
2119,100,0,0,0
2120,100,0,0,0
2121,100,0,0,0
2122,100,0,0,0
2123,100,0,0,0
2124,100,0,0,0
2125,100,0,0,0
2126,100,0,0,0
2127,100,0,0,0
2128,100,0,0,0
2129,100,0,0,0
2130,100,0,0,0
2131,100,0,0,0
2132,100,0,0,0
2133,100,0,0,0
2134,100,0,0,0
2135,100,0,0,0
2136,100,0,0,0
2137,100,0,0,0
2138,100,0,0,0
2139,100,0,0,0
2140,100,0,0,0
2141,100,0,0,0
2142,100,0,0,0
2143,100,0,0,0
2144,100,0,0,0
2145,100,0,0,0
2146,100,0,0,0
2147,100,0,0,0
2148,100,0,0,0
2149,100,0,0,0
2150,100,0,0,0
2151,100,0,0,0
2152,100,0,0,0
2153,100,0,0,0
2154,100,0,0,0
2155,100,0,0,0
2156,100,0,0,0
2157,100,0,0,0
2158,100,0,0,0
2159,100,0,0,0
2160,100,0,0,0
2161,100,0,0,0
2162,100,0,0,0
2163,100,0,0,0
2164,100,0,0,0
2165,100,0,0,0
2166,100,0,0,0
2167,100,0,0,0
2168,100,0,0,0
2169,100,0,0,0
2170,100,0,0,0
2171,100,0,0,0
2172,100,0,0,0
2173,100,0,0,0
2174,100,0,0,0
2175,100,0,0,0
2176,100,0,0,0
2177,100,0,0,0
2178,100,0,0,0
2179,100,0,0,0
2180,100,0,0,0
2181,100,0,0,0
2182,100,0,0,0
2183,100,0,0,0
2184,100,0,0,0
2185,100,0,0,0
2186,100,0,0,0
2187,100,0,0,0
2188,100,0,0,0
2189,100,0,0,0
2190,100,0,0,0
2191,100,0,0,0
2192,100,0,0,0
2193,100,0,0,0
2194,100,0,0,0
2195,100,0,0,0
2196,100,0,0,0
2197,100,0,0,0
2198,100,0,0,0
2199,100,0,0,0
2200,100,0,0,0
2201,100,0,0,0
2202,100,0,0,0
2203,100,0,0,0
2204,100,0,0,0
2205,100,0,0,0
2206,100,0,0,0
2207,100,0,0,0
2208,100,0,0,0
2209,100,0,0,0
2210,100,0,0,0
2211,100,0,0,0
2212,100,0,0,0
2213,100,0,0,0
2214,100,0,0,0
2215,100,0,0,0
2216,100,0,0,0
2217,100,0,0,0
2218,100,0,0,0
2219,100,0,0,0
2220,100,0,0,0
2221,100,0,0,0
2222,100,0,0,0
2223,100,0,0,0
2224,100,0,0,0
2225,100,0,0,0
2226,100,0,0,0
2227,100,0,0,0
2228,100,0,0,0
2229,100,0,0,0
2230,100,0,0,0
2231,100,0,0,0
2232,100,0,0,0
2233,100,0,0,0
2234,100,0,0,0
2235,100,0,0,0
2236,100,0,0,0
2237,100,0,0,0
2238,100,0,0,0
2239,100,0,0,0
2240,100,0,0,0
2241,100,0,0,0
2242,100,0,0,0